Layer #,Pass #,Time(ms),Reading
53,1,461822,0.0
53,1,461839,0.0
53,1,461855,0.0
53,1,461872,0.0
53,1,461889,0.0
53,1,461904,690.0
53,1,461921,690.0
53,1,461937,688.0
53,1,461954,689.0
53,1,461971,690.0
53,1,461989,688.0
53,1,462005,688.0
53,1,462021,689.0
53,1,462038,690.0
53,1,462055,689.0
53,1,462071,689.0
53,1,462088,690.0
53,1,462105,691.0
53,1,462121,691.0
53,1,462138,690.0
53,1,462154,690.0
53,1,462172,689.0
53,1,462188,690.0
53,1,462205,690.0
53,1,462221,689.0
53,1,462238,690.0
53,1,462255,689.0
53,1,462272,690.0
53,1,462289,691.0
53,1,462305,689.0
53,1,462321,690.0
53,1,462339,686.0
53,1,462355,685.0
53,1,462371,690.0
53,1,462388,690.0
53,1,462405,689.0
53,1,462422,690.0
53,1,462438,690.0
53,1,462455,688.0
53,1,462472,691.0
53,1,462488,689.0
53,1,462505,690.0
53,1,462521,689.0
53,1,462538,689.0
53,1,462555,690.0
53,1,462572,690.0
53,1,462588,691.0
53,1,462605,691.0
53,1,462622,689.0
53,1,462638,690.0
53,1,462655,690.0
53,1,462672,690.0
53,1,462688,690.0
53,1,462705,691.0
53,1,462721,690.0
53,1,462739,689.0
53,1,462755,692.0
53,1,462771,690.0
53,1,462788,691.0
53,1,462805,685.0
53,1,462822,684.0
53,1,462838,690.0
53,1,462855,690.0
53,1,462872,690.0
53,1,462889,690.0
53,1,462904,690.0
53,1,462921,690.0
53,1,462939,690.0
53,1,462956,689.0
53,1,462971,690.0
53,1,462988,690.0
53,1,463005,690.0
53,1,463022,690.0
53,1,463039,684.0
53,1,463055,690.0
53,1,463072,685.0
53,1,463088,685.0
53,1,463105,689.0
53,1,463122,690.0
53,1,463138,690.0
53,1,463155,690.0
53,1,463171,690.0
53,1,463189,690.0
53,1,463205,691.0
53,1,463221,688.0
53,1,463238,691.0
53,1,463255,689.0
53,1,463271,691.0
53,1,463288,690.0
53,1,463305,686.0
53,1,463322,684.0
53,1,463339,688.0
53,1,463355,691.0
53,1,463371,689.0
53,1,463388,691.0
53,1,463405,690.0
53,1,463421,690.0
53,1,463437,689.0
53,1,463455,690.0
53,1,463471,690.0
53,1,463488,690.0
53,1,463504,689.0
