Layer #,Pass #,Time(ms),Reading
53,1,464272,235.0
53,1,464289,235.0
53,1,464305,235.0
53,1,464322,235.0
53,1,464339,235.0
53,1,464355,235.0
53,1,464371,235.0
53,1,464388,235.0
53,1,464405,235.0
53,1,464421,235.0
53,1,464438,235.0
53,1,464455,235.0
53,1,464473,235.0
53,1,464490,235.0
53,1,464504,235.0
53,1,464522,235.0
53,1,464538,235.0
53,2,464555,235.0
53,2,464573,235.0
53,2,464589,235.0
53,2,464605,235.0
53,2,464622,235.0
53,2,464638,472.0
53,2,464655,486.0
53,2,464671,498.0
53,2,464688,514.0
53,2,464705,523.0
53,2,464722,536.0
53,2,464739,549.0
53,2,464755,560.0
53,2,464772,571.0
53,2,464789,580.0
53,2,464805,590.0
53,2,464822,599.0
53,2,464839,608.0
53,2,464855,616.0
53,2,464871,621.0
53,2,464889,632.0
53,2,464906,637.0
53,2,464921,645.0
53,2,464938,648.0
53,2,464955,650.0
53,2,464972,656.0
53,2,464988,659.0
53,2,465005,662.0
53,2,465021,667.0
53,2,465038,671.0
53,2,465054,674.0
53,2,465072,677.0
53,2,465089,680.0
53,2,465105,681.0
53,2,465122,687.0
53,2,465139,688.0
53,2,465155,692.0
53,2,465171,693.0
53,2,465188,692.0
53,2,465205,695.0
53,2,465222,694.0
53,2,465239,696.0
53,2,465255,698.0
53,2,465272,698.0
53,2,465288,700.0
53,2,465305,701.0
53,2,465321,701.0
53,2,465338,703.0
53,2,465355,707.0
53,2,465372,706.0
53,2,465389,708.0
53,2,465404,709.0
53,2,465422,709.0
53,2,465438,706.0
53,2,465456,706.0
53,2,465472,707.0
53,2,465489,709.0
53,2,465505,709.0
53,2,465522,707.0
53,2,465539,710.0
53,2,465555,707.0
53,2,465572,711.0
53,2,465588,711.0
53,2,465605,714.0
53,2,465622,712.0
53,2,465638,714.0
53,2,465655,715.0
53,2,465671,711.0
53,2,465688,714.0
53,2,465705,712.0
53,2,465722,711.0
53,2,465739,711.0
53,2,465756,712.0
53,2,465771,713.0
53,2,465788,711.0
