Layer #,Pass #,Time(ms),Reading
53,1,467929,241.0
53,1,467947,241.0
53,1,467963,241.0
53,1,467979,241.0
53,1,467996,241.0
53,1,468013,241.0
53,1,468029,241.0
53,1,468046,241.0
53,1,468063,241.0
53,1,468080,241.0
53,1,468097,241.0
53,1,468114,241.0
53,1,468131,241.0
53,1,468146,241.0
53,1,468163,241.0
53,1,468180,241.0
53,1,468197,241.0
53,1,468213,241.0
53,2,468230,241.0
53,2,468246,241.0
53,2,468262,241.0
53,2,468280,241.0
53,2,468297,241.0
53,2,468313,519.0
53,2,468330,526.0
53,2,468346,542.0
53,2,468363,555.0
53,2,468380,568.0
53,2,468396,581.0
53,2,468413,595.0
53,2,468430,607.0
53,2,468447,618.0
53,2,468463,629.0
53,2,468479,637.0
53,2,468496,646.0
53,2,468513,655.0
53,2,468529,661.0
53,2,468547,669.0
53,2,468563,677.0
53,2,468580,681.0
53,2,468596,688.0
53,2,468613,693.0
53,2,468629,698.0
53,2,468646,704.0
53,2,468663,709.0
53,2,468679,711.0
53,2,468696,717.0
53,2,468713,720.0
53,2,468730,718.0
53,2,468747,721.0
53,2,468763,728.0
53,2,468780,727.0
53,2,468796,732.0
53,2,468813,735.0
53,2,468830,736.0
53,2,468846,742.0
53,2,468863,742.0
53,2,468880,744.0
53,2,468896,745.0
53,2,468913,746.0
53,2,468931,745.0
53,2,468946,749.0
53,2,468963,752.0
53,2,468979,751.0
53,2,468996,752.0
53,2,469014,748.0
53,2,469029,753.0
53,2,469047,755.0
53,2,469063,756.0
53,2,469080,757.0
53,2,469096,756.0
53,2,469114,755.0
53,2,469129,757.0
53,2,469146,759.0
53,2,469162,760.0
53,2,469179,761.0
53,2,469196,759.0
53,2,469213,759.0
53,2,469230,762.0
53,2,469246,756.0
53,2,469264,761.0
53,2,469280,761.0
53,2,469296,763.0
53,2,469313,760.0
53,2,469330,760.0
53,2,469347,764.0
53,2,469364,764.0
53,2,469380,761.0
53,2,469396,764.0
53,2,469413,764.0
53,2,469429,761.0
53,2,469446,764.0
53,2,469463,766.0
53,2,469480,758.0
53,2,469496,758.0
53,2,469513,765.0
53,2,469530,763.0
53,2,469547,764.0
53,2,469563,763.0
53,2,469580,765.0
53,2,469597,765.0
53,2,469613,763.0
53,2,469629,767.0
53,2,469647,766.0
53,2,469664,764.0
53,2,469682,760.0
53,2,469698,762.0
53,2,469716,760.0
53,2,469732,759.0
53,2,469749,767.0
53,2,469766,765.0
53,2,469782,763.0
