116,435.67
216,444.95
317,455.73
433,441.91
534,443.03
649,443.91
767,446.05
867,447.33
984,446.4
1085,446.79
1185,446.49
1285,446.27
1402,446.86
1518,448.78
1619,448.25
1719,448.56
1826,448.92
1938,450.43
2041,449.39
2143,447.18
2243,447.4
2345,448.75
2461,448.24
2580,450.08
2697,450.67
2818,445.99
2921,447.16
3028,448.53
3140,449.11
3241,448.34
3341,448.6
3461,446.67
3561,446.22
3661,443.04
3782,445.92
3898,448.67
4015,447.87
4134,448.56
4250,445.88
4370,443.84
4471,445.16
4572,445.21
4672,444.04
4788,446.07
4891,444.13
5009,444.75
5124,445.14
5225,444.54
5341,445.76
5442,445.49
5559,443.19
5675,443.12
5783,433.87
5895,450.67
5997,450.55
6098,439.14
6200,439.26
6319,441.44
6434,441.54
6554,441.54
6654,441.31
6770,441.6
6896,438.19
6997,438.12
7116,441.37
7220,440.35
7336,441.38
7436,442.1
7536,439.81
7640,438.86
7755,438.44
7862,441.63
7980,440.48
8092,438.79
8194,440.39
8310,440.36
8431,439.65
8546,439.82
8647,440.12
8767,437.86
8871,437.28
8972,436.67
9089,437.16
9206,439.34
9323,439.03
9439,439.91
9556,439.57
9661,437.29
9761,437.05
9862,436.71
9978,437.57
10081,437.19
10181,437.59
10282,438.05
10397,435.47
10499,435.71
10616,436.94
10736,438.65
10851,434.94
10953,437.66
11070,436.37
11186,434.54
11288,436.04
11394,427.59
11496,452.24
11616,438.07
11735,429.69
11852,434.27
11969,434.4
12097,436.1
12208,435.81
12337,439.5
12438,439.58
12541,438.76
12641,437.03
12744,436.95
12861,440.76
12978,438.95
13095,440.78
13195,440.74
13297,442.47
13398,439.55
13500,440.48
13613,440.36
13725,438.48
13825,439.4
13925,441.29
14025,444.57
14141,443.84
14258,444.95
14375,443.34
14482,443.51
14599,444.49
14701,444.98
14801,444.17
14904,443.84
15006,445.5
15122,443.82
15239,445.43
15358,445.29
15475,446.36
15577,444.86
15693,446.4
15801,445.87
15917,445.88
16033,448.43
16133,448.98
16235,448.42
16335,448.24
16436,446.96
16542,448.14
16646,448.06
16759,447.52
16871,451.03
16973,438.2
17076,440.43
17179,449.09
17282,438.61
17398,441.22
17498,443.05
17601,444.71
17702,445.55
17802,443.88
17905,446.25
18006,447.23
18123,447.69
18240,447.36
18342,445.57
18442,445.12
18543,446.45
18643,449.54
18743,451.35
18845,449.08
18961,449.2
19081,450.53
19197,451.75
19298,452.11
19400,450.2
19516,450.9
19633,454.6
19750,455.14
19850,452.03
19966,452.25
20067,452.6
20182,453.62
20282,454.9
20383,454.26
20483,453.03
20584,455.05
20700,454.95
20802,455.59
20902,456.03
21004,454.33
21104,457.59
21205,457.79
21307,457.01
21407,457.93
21524,460.96
21641,458.13
21757,458.91
21875,459.2
21992,460.55
22109,459.07
22226,457.25
22343,461.48
22462,460.86
22581,455.3
22698,467.27
22814,454.29
22937,449.29
23038,450.1
23156,450.58
23256,452.92
23373,451.98
23491,450.94
23609,451.02
23710,452.33
